step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
163,CASH_OUT,66061.94,C1444177449,0.0,0.0,C1433830539,153788.33,219850.28,0,0
378,PAYMENT,14598.76,C638641690,10779.0,0.0,M786508240,0.0,0.0,0,0
333,PAYMENT,10767.1,C1473859208,0.0,0.0,M204648638,0.0,0.0,0,0
307,PAYMENT,9342.7,C1660884816,180485.84,171143.14,M182225889,0.0,0.0,0,0
334,PAYMENT,6553.42,C843452443,20099.0,13545.58,M1268307159,0.0,0.0,0,0
163,CASH_OUT,101952.61,C1597425666,0.0,0.0,C998074550,453553.18,580728.12,0,0
185,PAYMENT,2121.14,C398705862,0.0,0.0,M1341333396,0.0,0.0,0,0
276,CASH_OUT,43535.69,C970635234,0.0,0.0,C1521571660,5058963.82,5102499.51,0,0
298,CASH_OUT,369057.41,C635396366,322030.95,0.0,C1827160321,664793.62,1033851.03,0,0
12,PAYMENT,21188.46,C266215176,143116.0,121927.54,M1138059665,0.0,0.0,0,0
495,CASH_IN,249024.64,C1871719998,14309.0,263333.64,C352393935,2312847.9,2063823.26,0,0
375,CASH_OUT,83417.21,C1887147018,0.0,0.0,C493408021,1766283.64,1849700.85,0,0
156,PAYMENT,1483.88,C1718851451,0.0,0.0,M1607529187,0.0,0.0,0,0
379,CASH_OUT,188205.85,C369427857,0.0,0.0,C1410371802,4605248.98,5174415.0,0,0
233,CASH_OUT,349379.9,C1159146232,923.0,0.0,C700399914,12879759.26,13229139.17,0,0
14,CASH_IN,202444.01,C620339061,1474474.54,1676918.55,C1469454215,1925096.14,1722652.13,0,0
550,CASH_OUT,8192.94,C118544412,0.0,0.0,C167486945,549843.2,558036.14,0,0
256,CASH_IN,426893.0,C458332696,5227.0,432120.0,C2078550942,612341.7,185448.7,0,0
212,CASH_IN,181013.83,C738528731,1511834.33,1692848.15,C926950414,1978603.62,1797589.8,0,0
351,CASH_IN,45847.12,C990272031,8026504.35,8072351.48,C2089912875,1335251.61,1289404.48,0,0
284,PAYMENT,1076.38,C638685753,253830.0,252753.62,M1758179185,0.0,0.0,0,0
44,PAYMENT,12651.24,C688790358,0.0,0.0,M378214080,0.0,0.0,0,0
380,PAYMENT,5406.15,C45886972,393.0,0.0,M258294270,0.0,0.0,0,0
18,TRANSFER,996247.49,C2017975568,0.0,0.0,C1293578981,2531406.91,4379670.06,0,0
210,PAYMENT,6956.39,C960244931,0.0,0.0,M1817281934,0.0,0.0,0,0
352,CASH_IN,25538.91,C1131584923,2441272.11,2466811.02,C1456032402,213116.13,187577.22,0,0
262,PAYMENT,2329.71,C1961907035,0.0,0.0,M248030682,0.0,0.0,0,0
14,PAYMENT,18963.82,C262153297,24588.0,5624.18,M1575863530,0.0,0.0,0,0
187,CASH_IN,187441.74,C92988350,298190.26,485632.0,C1145359319,1361225.58,1173783.83,0,0
376,DEBIT,648.55,C42497163,104516.0,103867.45,C936622226,3368852.43,3369500.99,0,0
166,PAYMENT,283.42,C1353713806,107094.0,106810.58,M2032768136,0.0,0.0,0,0
159,CASH_OUT,126179.31,C56218098,0.0,0.0,C994905324,9875382.0,10001561.31,0,0
399,CASH_IN,98954.01,C494985507,11069.0,110023.01,C708057655,684354.26,585400.25,0,0
9,CASH_IN,158859.6,C478632329,300589.0,459448.6,C979387846,1142330.03,1443684.0,0,0
253,CASH_IN,352297.58,C1370508535,114312.0,466609.58,C559840370,2100276.55,1747978.97,0,0
589,PAYMENT,7540.54,C1143233477,0.0,0.0,M670558833,0.0,0.0,0,0
687,CASH_OUT,62834.42,C450502086,36032.0,0.0,C1818148143,0.0,62834.42,0,0
308,PAYMENT,834.36,C1724800875,164523.91,163689.55,M983765120,0.0,0.0,0,0
306,CASH_OUT,184695.31,C225838953,3739.0,0.0,C1176874766,115109.56,299804.87,0,0
22,CASH_IN,169608.14,C1993941806,5906591.06,6076199.2,C903459177,3481925.58,3591730.32,0,0
163,CASH_IN,298330.75,C975113787,339.0,298669.75,C503968659,1267253.32,968922.57,0,0
36,CASH_IN,104815.49,C417391538,1136140.45,1240955.94,C1099095006,591044.12,486228.62,0,0
278,PAYMENT,3580.01,C1093655394,0.0,0.0,M549495356,0.0,0.0,0,0
209,CASH_OUT,180629.77,C2097645980,417.0,0.0,C2097896863,0.0,180629.77,0,0
181,CASH_OUT,252744.61,C1343371501,421085.0,168340.39,C293841430,35657.67,288402.28,0,0
144,PAYMENT,16822.09,C617309327,0.0,0.0,M662815541,0.0,0.0,0,0
329,PAYMENT,11830.41,C1827699030,400.0,0.0,M398733077,0.0,0.0,0,0
